code,code_name
sh.000001,上证综合指数
sh.000002,上证A股指数
sh.000003,上证B股指数
sh.000004,上证工业类指数
sh.000005,上证商业类指数
sh.000006,上证房地产指数
sh.000007,上证公用事业指数
sh.000008,上证综合业类指数
sh.000009,上证380
sh.000010,上证180指数
sh.000011,上证基金指数
sh.000012,上证国债指数
sh.000013,上证企业债指数
sh.000015,上证红利指数
sh.000016,上证50指数
sh.000017,新上证综指
sh.000018,上证180金融股指数
sh.000019,上证公司治理指数
sh.000020,上证中型企业综合指数
sh.000021,上证180公司治理指数
sh.000022,沪公司债
sh.000025,上证180基建指数
sh.000026,上证180资源指数
sh.000027,上证180交通运输指数
sh.000028,上证180成长指数
sh.000029,上证180价值指数
sh.000030,上证180相对成长指数
sh.000031,上证180相对价值指数
sh.000032,上证能源行业指数
sh.000033,上证原材料行业指数
sh.000034,上证工业行业指数
sh.000035,上证可选消费行业指数
sh.000036,上证主要消费行业指数
sh.000037,上证医药卫生行业指数
sh.000038,上证金融地产行业指数
sh.000039,上证信息技术行业指数
sh.000040,上证电信业务行业指数
sh.000041,上证公用事业行业指数
sh.000042,上证中央企业50指数
sh.000043,上证超级大盘指数
sh.000044,上证中盘
sh.000045,上证小盘
sh.000046,上证中小
sh.000047,上证全指
sh.000048,责任指数
sh.000049,上证民企
sh.000050,50等权
sh.000051,180等权
sh.000052,50基本
sh.000053,180基本
sh.000054,上证海外
sh.000056,上证国企
sh.000057,全指成长
sh.000058,全指价值
sh.000059,全R成长
sh.000060,全R价值
sh.000061,沪企债30
sh.000062,上证沪企
sh.000063,上证周期
sh.000064,非周期
sh.000065,上证龙头
sh.000066,上证商品
sh.000067,上证新兴
sh.000068,上证资源
sh.000069,消费80
sh.000070,能源等权
sh.000071,材料等权
sh.000072,工业等权
sh.000073,可选等权
sh.000074,消费等权
sh.000075,医药等权
sh.000076,金融等权
sh.000077,信息等权
sh.000078,电信等权
sh.000079,公用等权
sh.000090,上证流通
sh.000091,沪财中小
sh.000092,资源50
sh.000093,180分层
sh.000094,上证上游
sh.000095,上证中游
sh.000096,上证下游
sh.000097,高端装备
sh.000098,上证F200
sh.000099,上证F300
sh.000100,上证F500
sh.000101,上证5年期信用债指数
sh.000102,沪投资品
sh.000103,沪消费品
sh.000104,380能源
sh.000105,380材料
sh.000106,380工业
sh.000107,380可选
sh.000108,380消费
sh.000109,380医药
sh.000110,380金融
sh.000111,380信息
sh.000112,380电信
sh.000113,380公用
sh.000114,持续产业
sh.000115,380等权
sh.000116,上证信用债100指数
sh.000117,380成长
sh.000118,380价值
sh.000119,380R成长
sh.000120,380R价值
sh.000121,医药主题
sh.000122,上证农业主题指数
sh.000123,上证180动态指数
sh.000125,上证180稳定指数
sh.000126,消费50
sh.000128,380基本
sh.000129,180波动
sh.000130,380波动
sh.000131,上证高新
sh.000132,上证100
sh.000133,上证150
sh.000134,上证银行股指数
sh.000135,上证180高贝塔指数
sh.000136,上证180低贝塔指数
sh.000137,上证380高贝塔指数
sh.000138,上证380低贝塔指数
sh.000139,上证可转换债券指数
sh.000141,上证380动态指数
sh.000142,上证380稳定指数
sh.000145,上证优势资源产业指数
sh.000146,上证优势制造产业指数
sh.000147,上证优势消费产业指数
sh.000148,上证消费服务领先指数
sh.000149,上证180红利指数
sh.000150,上证380红利指数
sh.000151,上证国有企业红利指数
sh.000152,上证中央企业红利指数
sh.000153,上证民营企业红利指数
sh.000155,上证市值百强指数
sh.000158,上证环保产业指数
sh.000159,上证沪股通指数
sh.000160,上证一带一路主题指数
sh.000161,上证中国制造主题指数
sh.000162,上证互联网+主题指数
sh.000300,沪深300指数
sh.000802,500沪市
sh.000805,A股资源
sh.000806,消费服务
sh.000807,食品饮料
sh.000808,医药生物
sh.000814,细分医药
sh.000816,细分地产
sh.000819,有色金属
sh.000821,沪深300红利指数
sh.000823,中证800有色
sh.000827,中证环保产业指数
sh.000828,沪深300高贝塔指数
sh.000832,中证可转换债券指数
sh.000833,中证1-7年中高收益企债指数
sh.000841,中证800制药与生物科技指数
sh.000842,中证800等权重指数
sh.000846,中证财通中国可持续发展100(ECPIESG)指数
sh.000847,中证腾讯济安价值100A股指数
sh.000849,沪深300非银行金融指数
sh.000851,百发100指数
sh.000852,中证1000指数
sh.000853,中证申万一带一路主题投资指数
sh.000854,中证500原材料指数
sh.000855,央视财经500指数
sh.000856,中证500工业指数
sh.000857,中证500医药卫生指数
sh.000858,中证500信息技术指数
sh.000901,中证南方小康产业指数
sh.000903,中证A100指数
sh.000904,中证200指数
sh.000905,中证500指数
sh.000906,中证800指数
sh.000908,沪深300能源指数
sh.000909,沪深300原材料指数
sh.000910,沪深300工业指数
sh.000911,沪深300可选消费指数
sh.000912,沪深300主要消费指数
sh.000913,沪深300医药卫生指数
sh.000914,沪深300金融地产指数
sh.000917,沪深300公用事业指数
sh.000918,沪深300成长指数
sh.000919,沪深300价值指数
sh.000922,中证红利指数
sh.000925,中证锐联基本面50指数
sh.000928,中证能源指数
sh.000931,中证可选消费指数
sh.000932,中证主要消费指数
sh.000933,中证医药卫生指数
sh.000934,中证金融地产指数
sh.000935,中证信息技术指数
sh.000939,中证民企成长指数
sh.000940,中证财富大盘指数
sh.000944,中证内地资源主题指数
sh.000950,沪深300基建主题指数
sh.000951,沪深300银行指数
sh.000952,沪深300房地产指数
sh.000957,沪深300运输指数
sh.000958,中证创业成长指数
sh.000959,银河99
sh.000961,中证上游资源产业指数
sh.000963,中证下游消费与服务产业指数
sh.000964,中证新兴产业指数
sh.000966,中证锐联基本面400指数
sh.000969,沪深300非周期行业指数
sh.000971,等权90
sh.000974,中证800金融指数
sh.000975,中证钱江30指数
sh.000977,中证内地低碳经济主题指数
sh.000978,中证医药100指数
sh.000979,中证大宗商品股票指数
sh.000982,中证500等权重指数
sh.000984,沪深300等权重指数
sh.000986,中证全指能源指数
sh.000987,中证全指原材料指数
sh.000989,中证全指可选消费指数
sh.000990,中证全指主要消费指数
sh.000991,中证全指医药卫生指数
sh.000992,中证全指金融地产指数
sh.000993,中证全指信息技术指数
sh.000998,中证TMT产业主题指数
sz.399001,深证成份指数(价格)
sz.399002,深证成份指数(收益)
sz.399003,深证成份B股指数
sz.399004,深证100指数(收益)
sz.399005,中小企业100指数
sz.399006,创业板指数(价格)
sz.399007,深证300价格
sz.399008,中小企业300指数
sz.399009,深证200指数
sz.399010,深证700指数
sz.399011,深证1000指数
sz.399012,创业板300
sz.399013,深市精选指数
sz.399015,深证中小创新指数
sz.399100,深证新指数
sz.399101,中小企业综合指数
sz.399102,创业板综合指数
sz.399103,乐富基金指数
sz.399106,深证综合指数
sz.399107,深证A股指数
sz.399108,深证B股指数
sz.399231,农林牧渔指数
sz.399232,采矿业指数
sz.399233,制造业指数
sz.399234,水电煤气指数
sz.399235,建筑业指数
sz.399236,批发零售指数
sz.399237,运输仓储指数
sz.399238,住宿餐饮指数
sz.399239,信息技术指数
sz.399240,金融业指数
sz.399241,房地产业指数
sz.399242,商务服务指数
sz.399243,科研服务指数
sz.399244,公共环保指数
sz.399248,文化传播指数
sz.399249,综合类指数
sz.399298,深证中高等级信用债指数
sz.399299,深证中低等级信用债指数
sz.399300,沪深300指数
sz.399301,深证信用债综合指数
sz.399302,深证公司债综合指数
sz.399303,国证2000指数
sz.399306,深证ETF指数
sz.399307,深证可转债指数
sz.399310,国证A50指数
sz.399311,国证1000指数
sz.399312,国证300指数
